video-id,fold-ind,startphrase,gold-ending,distractor-0,distractor-1,distractor-2,distractor-3,gold-source,gold-type,distractor-0-type,distractor-1-type,distractor-2-type,distractor-3-type,sent1,sent2
anetv_jkn6uvmqwh4,3416,Members of the procession walk down the street holding small horn brass instruments. A drum line,passes by walking down the street playing their instruments.,arrives and they're outside dancing and asleep.,turns the lead singer watches the performance.,has heard approaching them.,is covered in pumping music.,gold0-orig,pos,unl,unl,pos,pos,Members of the procession walk down the street holding small horn brass instruments.,A drum line
anetv_jkn6uvmqwh4,3417,A drum line passes by walking down the street playing their instruments. Members of the procession,"continue to play marching, interspersed.",wait slowly towards the cadets.,continues to play as well along the crowd along with the band being interviewed.,are playing ping pong and celebrating one left each in quick.,,gen-orig,pos,unl,unl,unl,n/a,A drum line passes by walking down the street playing their instruments.,Members of the procession
anetv_jkn6uvmqwh4,3415,A group of members in green uniforms walks waving flags. Members of the procession,walk down the street holding small horn brass instruments.,pay the other coaches to cheer as people this chatter dips in lawn sheets.,are talking a couple of people playing a game of tug of war.,is seen in the background.,holds up signs with numbers in their mouths and arrows before they go.,gold0-orig,pos,unl,unl,pos,pos,A group of members in green uniforms walks waving flags.,Members of the procession
anetv_jkn6uvmqwh4,3417,A drum line passes by walking down the street playing their instruments. Members of the procession,play and go back and forth hitting the drums while the audience claps for them.,are playing ping pong and celebrating one left each in quick.,wait slowly towards the cadets.,makes a square call and ends by jumping down into snowy streets where fans begin to take their positions.,,gen-reannot,pos,unl,unl,unl,n/a,A drum line passes by walking down the street playing their instruments.,Members of the procession
anetv_Bri_myFFu4A,2408,The person plays a song on the violin. The man,finishes the song and lowers the instrument.,continues dancing while the man gore the music outside while drums.,hits the saxophone and demonstrates how to properly use the racquet.,finishes massage the instrument again and continues.,moves his hands up and down the chords.,gold0-orig,pos,unl,unl,unl,pos,The person plays a song on the violin.,The man
anetv_Bri_myFFu4A,2407,The person holds up the violin to his chin and gets ready. The person,plays a song on the violin.,continues playing guitar while moving from the camera.,"walks in frame and rubs on his hands, and then walks into a room.",finishes playing then marches their tenderly.,,gold0-orig,pos,unl,pos,pos,n/a,The person holds up the violin to his chin and gets ready.,The person
anetv_Bri_myFFu4A,2405,A person retrieves an instrument from a closet. The man,examines the instrument in his hand.,drags off the vacuum.,stops playing the drums and waves over the other boys.,lights the cigarette and sticks his head in.,,gold0-orig,pos,unl,unl,unl,n/a,A person retrieves an instrument from a closet.,The man
anetv_Bri_myFFu4A,2406,The man examines the instrument in his hand. The person,holds up the violin to his chin and gets ready.,studies a picture of the man playing the violin.,puts his arm around the man and backs away.,stops to speak to the camera again.,,gold0-orig,pos,unl,unl,pos,n/a,The man examines the instrument in his hand.,The person
lsmdc1005_Signs-5092,6072,Someone walks over to the radio. Someone,stares blearily down at the floor.,hands her another phone.,"takes the drink, then holds it.",looks off then looks at someone.,cocks his head from side to side.,gold1-orig,pos,unl,unl,pos,pos,Someone walks over to the radio.,Someone
lsmdc1005_Signs-5092,6072,Someone walks over to the radio. Someone,turns on a monitor.,hands her another phone.,"takes the drink, then holds it.",looks off then looks at someone.,cocks his head from side to side.,gen-orig,pos,unl,unl,pos,pos,Someone walks over to the radio.,Someone
lsmdc1005_Signs-5092,6073,Someone stares blearily down at the floor. Someone,looks up at someone in shock.,shifts his amused gaze to someone's brow pinched uneasily.,takes the gun and leads his men upstairs into the kitchen.,"takes the bag, revealing a sleek silver - diamond shot at someone's head.",gets into his van as he spies someone's suv.,gold0-orig,pos,pos,pos,pos,pos,Someone stares blearily down at the floor.,Someone
lsmdc1005_Signs-5092,6071,"A little way beyond is someone's Ford pickup truck smashed into the tree, stretched into any of the front and a couple of paramedics standing by. They",turned to look at someone as he approaches.,holds the reins of the camel and running as the inspector runs towards them.,"wakes with a start, driving along the road, in the other direction.",rush for the unconscious mother.,,gold0-reannot,pos,unl,unl,pos,n/a,"A little way beyond is someone's Ford pickup truck smashed into the tree, stretched into any of the front and a couple of paramedics standing by.",They
lsmdc1052_Harry_Potter_and_the_order_of_phoenix-95232,8105,They run back through the forest towards Hogwarts. People,run to meet them.,"run behind them, side by side.","are huddled in the shack, pulling themselves.",escape from shadowfax barn gates.,,gold0-orig,pos,unl,unl,unl,n/a,They run back through the forest towards Hogwarts.,People
lsmdc1052_Harry_Potter_and_the_order_of_phoenix-95232,8104,Someone tries to release it. Someone,is lifted into the air by someone.,is flying a flag high in the air.,wraps the paper around a package which inspects him.,steps out from behind her white inquiring bag.,'s face is seen and she carries him away.,gold1-orig,pos,unl,unl,unl,pos,Someone tries to release it.,Someone
lsmdc1052_Harry_Potter_and_the_order_of_phoenix-95232,8104,Someone tries to release it. Someone,"goes out of the room and into the bedroom, her face covered with rage.",is flying a flag high in the air.,wraps the paper around a package which inspects him.,steps out from behind her white inquiring bag.,'s face is seen and she carries him away.,gen-orig,pos,unl,unl,unl,pos,Someone tries to release it.,Someone
lsmdc1007_Spider-Man1-74947,16229,Now it's someone's turn to rain blades on his opponent. Someone,falls to the ground.,rolls up his fast run from the water and tosses in the sky.,lunges forward through the window.,pats his shoulder and spins wildly.,kicks someone in the shin.,gold0-orig,pos,unl,unl,pos,pos,Now it's someone's turn to rain blades on his opponent.,Someone
lsmdc1007_Spider-Man1-74947,16219,Someone flips up and punches him again. Someone,pauses in his tracks.,yanks the brunette up from her shirt and puts it across the back of her shirt.,"looks down off the water, his eyes wide in horror.","stands perfectly still, grasping for the door.",,gen-orig,pos,unl,pos,pos,n/a,Someone flips up and punches him again.,Someone
